state,symbol,order_type,volume,open_time,open_price,close_time,close_price,sl,tp,info,profit,commission,profit_net,profit_cumulative,balance
closed,EURUSDm,sell,100000,2023-02-02 00:00:00,1.10123,2023-02-07 00:00:00,1.07285,0,0,{},2838.0,-6.999999999999999,2831.0,2831.0,12831.0
closed,EURUSDm,buy,100000,2023-02-08 00:00:00,1.07297,2023-03-02 00:00:00,1.06682,0,0,{},-615.0,-6.999999999999999,-622.0,2209.0,12209.0
closed,EURUSDm,buy,100000,2023-03-08 00:00:00,1.05479,2023-03-12 00:00:00,1.06727,0,0,{},1248.0,-6.999999999999999,1241.0,3450.0,13450.0
closed,EURUSDm,sell,100000,2023-03-14 00:00:00,1.07228,2023-05-12 00:00:00,1.09121,0,0,{},-1893.0,-6.999999999999999,-1900.0,1550.0,11550.0
closed,EURUSDm,buy,100000,2023-05-14 00:00:00,1.08511,2023-06-09 00:00:00,1.07815,0,0,{},-696.0,-6.999999999999999,-703.0,847.0,10847.0
closed,EURUSDm,sell,100000,2023-06-14 00:00:00,1.07891,2023-08-03 00:00:00,1.0943100000000001,0,0,{},-1540.0,-6.999999999999999,-1547.0,-700.0,9300.0
closed,EURUSDm,buy,100000,2023-08-15 00:00:00,1.09073,2023-08-31 00:00:00,1.09292,0,0,{},219.0,-6.999999999999999,212.0,-488.0,9512.0
closed,EURUSDm,buy,100000,2023-09-03 00:00:00,1.07756,2023-10-11 00:00:00,1.06039,0,0,{},-1717.0,-6.999999999999999,-1724.0,-2212.0,7788.0
closed,EURUSDm,sell,100000,2023-10-24 00:00:00,1.06696,2023-12-07 00:00:00,1.07659,0,0,{},-963.0,-6.999999999999999,-970.0,-3182.0,6818.0
closed,EURUSDm,buy,100000,2023-12-08 00:00:00,1.07895,2023-12-14 00:00:00,1.08821,0,0,{},926.0,-6.999999999999999,919.0,-2263.0,7737.0
closed,EURUSDm,sell,100000,2023-12-22 00:00:00,1.10051,2024-01-17 00:00:00,1.0878,0,0,{},1271.0,-6.999999999999999,1264.0,-999.0,9001.0
closed,EURUSDm,buy,100000,2024-01-24 00:00:00,1.08566,2024-02-21 00:00:00,1.08092,0,0,{},-474.0,-6.999999999999999,-481.0,-1480.0,8520.0
closed,EURUSDm,sell,100000,2024-02-27 00:00:00,1.08499,2024-03-24 00:00:00,1.08067,0,0,{},432.0,-6.999999999999999,425.0,-1055.0,8945.0
closed,EURUSDm,buy,100000,2024-03-25 00:00:00,1.0807,2024-04-07 00:00:00,1.08362,0,0,{},292.0,-6.999999999999999,285.0,-770.0,9230.0
closed,EURUSDm,buy,100000,2024-04-11 00:00:00,1.07409,2024-04-26 00:00:00,1.07264,0,0,{},-145.0,-6.999999999999999,-152.0,-922.0,9078.0
closed,EURUSDm,sell,100000,2024-05-05 00:00:00,1.07608,2024-06-09 00:00:00,1.07621,0,0,{},-13.0,-6.999999999999999,-20.0,-942.0,9058.0
closed,EURUSDm,buy,100000,2024-06-10 00:00:00,1.07782,2024-07-01 00:00:00,1.07345,0,0,{},-437.0,-6.999999999999999,-444.0,-1386.0,8614.0
closed,EURUSDm,sell,100000,2024-07-04 00:00:00,1.07905,2024-08-02 00:00:00,1.0786,0,0,{},45.0,-6.999999999999999,38.0,-1348.0,8652.0
closed,EURUSDm,sell,100000,2024-08-06 00:00:00,1.09501,2024-09-11 00:00:00,1.10198,0,0,{},-697.0,-6.999999999999999,-704.0,-2052.0,7948.0
closed,EURUSDm,buy,100000,2024-09-12 00:00:00,1.101,2024-09-17 00:00:00,1.11286,0,0,{},1186.0,-6.999999999999999,1179.0,-873.0,9127.0
closed,EURUSDm,sell,100000,2024-09-20 00:00:00,1.11589,2024-10-04 00:00:00,1.10346,0,0,{},1243.0,-6.999999999999999,1236.0,363.0,10363.0
closed,EURUSDm,buy,100000,2024-10-06 00:00:00,1.09663,2024-11-01 00:00:00,1.08834,0,0,{},-829.0,-6.999999999999999,-836.0,-473.0,9527.0
closed,EURUSDm,sell,100000,2024-11-06 00:00:00,1.09336,2024-11-07 00:00:00,1.07314,0,0,{},2022.0,-6.999999999999999,2015.0,1542.0,11542.0
closed,EURUSDm,buy,100000,2024-11-10 00:00:00,1.07085,2024-12-06 00:00:00,1.05859,0,0,{},-1226.0,-6.999999999999999,-1233.0,309.0,10309.0
closed,EURUSDm,buy,100000,2024-12-19 00:00:00,1.03503,2025-01-21 00:00:00,1.04206,0,0,{},703.0,-6.999999999999999,696.0,1005.0,11005.0
closed,EURUSDm,sell,100000,2025-01-22 00:00:00,1.04053,2025-01-24 00:00:00,1.04942,0,0,{},-889.0,-6.999999999999999,-896.0,109.0,10109.0
